Tickers,Analyst Rating,Industry,Working Capital,,,,,Quick Ratio,,,,,EPS,,,,,PE Ratio,,,,,Short to Long Term Debt,,,,,ROE,,,,,Current,,,,,Net Project Margin,,,,,Ave 30 day Volume,Ave 6 month Volume,Ave 3 month Volume,Volume 5day ave,PX 1 Yr Ago,PX 6 Months Ago,PX 3m ago,PX 1 Day ago
BXP UN Equity,4.333333492,Financial,#N/A N/A,,,,,#N/A N/A,,,,,0.63,1.06,0.70,0.91,3.20,44.93,38.89,37.30,37.85,27.05,11378.33,12218.49,12259.52,12236.03,12488.86,8.74,9.46,9.31,9.18,15.85,#N/A N/A,,,,,13.88,22.75,14.85,18.94,66.46,539830.19,406630.7188,476490,444874.1875,131.87,137.60,90.72,91.55
CTVA UN Equity,3.777777672,"Consumer, Non-cyclical",9983.00,5907.00,5124.00,5281.00,5480.00,0.48,1.10,0.96,0.89,0.84,0.22,-0.81,-0.66,-0.03,0.36,108.48,34.80,18.95,,,9498.00,2755.00,4276.00,688.00,2610.00,-3.04,-1.94,-1.73,,,1.71,1.69,1.57,1.64,1.60,4.83,-10.94,-25.85,-0.70,6.88,1429026.88,1569922.125,1359694.625,1736852.75,28.64,28.36,24.26,27.57
STE UN Equity,3.5,"Consumer, Non-cyclical",588.54,611.51,603.93,602.07,705.14,1.69,1.73,1.73,1.65,1.80,1.29,1.00,1.12,1.24,1.45,31.39,34.53,32.01,31.51,28.38,1183.23,1332.63,1303.57,1260.22,1284.44,9.53,10.08,10.59,12.12,12.40,2.27,2.41,2.41,2.34,2.40,14.16,12.14,12.86,13.55,14.98,177516.36,220508.4688,196059.9844,294591.5938,152.78,151.62,148.65,154.01
DVN UN Equity,4.225806236,Energy,735.00,1700.00,1188.00,1924.00,2501.00,1.20,1.24,1.30,1.19,1.36,-0.74,1.20,0.27,-1.70,-4.74,41.68,30.35,27.28,23.18,7.40,6151.00,4603.00,4558.00,4555.00,4554.00,35.00,51.33,18.45,-4.82,-31.61,1.37,1.49,1.72,2.00,2.61,-18.45,27.44,6.09,-36.75,-123.71,2586290.25,2479644.5,2361205.5,2006826.375,27.90,26.41,8.80,11.24
ARE UN Equity,4.666666508,Financial,#N/A N/A,,,,,#N/A N/A,,,,,1.11,0.68,-0.44,1.75,0.14,42.35,40.60,110.91,44.71,52.86,6088.10,6599.79,7008.30,7049.29,7598.31,5.23,5.45,1.63,4.33,2.89,#N/A N/A,,,,,35.99,21.07,-12.09,49.60,4.27,388578.00,361805.5,313679.875,274864.4063,145.00,161.03,137.68,165.04
EFX UN Equity,3.599999905,"Consumer, Non-cyclical",-658.30,-684.10,-638.80,-149.70,5.20,0.43,0.43,0.46,0.69,0.85,-4.60,0.55,0.67,0.08,0.93,25.45,30.73,31.40,30.32,24.35,3798.20,3935.30,3958.40,4347.30,3508.20,-11.89,-14.75,-13.42,-14.03,10.90,0.57,0.54,0.57,0.89,1.00,-65.70,7.59,9.26,1.02,11.75,243223.20,268529.3438,244126.0781,238530.2031,138.06,143.48,113.85,171.90
NLOK UW Equity,3.190476179,Communications,-580.00,-1047.00,4704.00,8858.00,457.00,0.73,0.59,0.48,2.75,0.91,0.05,0.04,1.27,4.58,0.39,161.51,152.87,122.89,92.56,47.45,4452.00,4666.00,4637.00,4592.00,4322.00,0.58,2.10,15.09,50.61,135.25,0.85,0.71,1.93,2.88,1.17,5.51,2.09,129.11,460.36,37.62,3177953.75,3097624,2751385,3030837,14.44,15.24,18.97,20.01
ROL UN Equity,3.5,"Consumer, Non-cyclical",-62.77,-94.50,-86.69,-100.25,-113.04,0.68,0.61,0.63,0.58,0.57,0.14,0.20,0.13,0.16,0.13,60.15,51.79,48.60,47.34,51.99,182.23,539.44,523.66,493.27,529.05,32.91,31.23,26.41,26.62,26.64,0.82,0.77,0.79,0.76,0.73,10.31,12.27,7.92,10.03,8.87,426113.47,475676.375,447660.375,458837.5938,37.14,33.23,37.20,43.06
NBL UW Equity,4.5,Energy,-700.00,-953.00,-1158.00,-607.00,562.00,0.57,0.45,0.44,0.62,1.12,-0.65,-0.02,0.04,-2.52,-8.27,#N/A N/A,,,,,7497.00,7313.00,7409.00,7870.00,9058.00,-9.60,-9.54,-11.68,-16.95,-76.66,0.64,0.59,0.55,0.69,1.32,-29.36,-0.91,1.50,-102.38,-322.72,3948005.25,3272608.5,3508201.25,4097016,#N/A N/A,23.94,6.67,9.55
FLIR UW Equity,3.799999952,Industrial,667.80,672.75,646.79,695.68,541.20,1.39,1.37,1.33,1.46,1.04,0.46,0.34,0.46,0.01,0.12,22.34,26.31,26.09,27.48,18.07,803.00,804.44,785.41,716.15,875.26,16.53,15.08,14.09,9.16,6.95,2.45,2.47,2.38,2.68,1.92,13.88,9.57,13.17,0.34,3.42,726835.50,668897.0625,771411.3125,784819.1875,54.51,52.67,35.09,42.16
WYNN UW Equity,4.444444656,"Consumer, Cyclical",363.90,-8.03,180.87,873.45,1530.53,1.08,0.88,0.99,1.33,1.68,0.98,0.88,-0.03,-0.68,-3.77,21.31,22.28,27.65,61.72,27.16,9328.68,9321.11,9703.90,10582.10,11525.17,63.20,43.59,35.49,6.51,-23.13,1.19,1.00,1.09,1.44,1.81,6.35,5.70,-0.21,-4.41,-42.15,1721715.63,1566865.75,1706135.625,1846428.75,132.81,141.19,56.73,77.32
HSY UN Equity,3.299999952,"Consumer, Non-cyclical",-181.26,-293.87,-607.32,108.31,-38.05,0.48,0.38,0.39,0.53,0.62,1.45,1.48,1.54,0.98,1.30,20.59,23.41,26.78,25.39,22.69,4618.46,4351.28,4738.61,4479.86,5290.98,94.83,89.37,85.63,73.28,72.36,0.92,0.88,0.80,1.05,0.99,15.09,17.70,15.24,10.02,13.31,441859.13,415918.8125,415853.0625,470388.1875,138.26,144.57,141.86,129.86
AVB UN Equity,3.909090996,Financial,#N/A N/A,,,,,#N/A N/A,,,,,1.23,1.21,2.00,1.20,1.19,44.09,44.79,48.92,47.11,33.38,7180.50,7490.38,7497.98,7436.76,8276.48,9.52,8.67,9.47,7.27,7.24,#N/A N/A,,,,,30.09,29.15,47.60,28.24,27.92,484141.59,364642.125,393886.0313,319300.8125,207.87,209.58,145.07,159.92
EOG UN Equity,4.441176414,Energy,606.62,81.46,346.02,786.35,2186.04,0.78,0.72,0.78,0.90,1.01,1.10,1.47,1.06,1.10,0.02,16.96,16.77,16.20,17.82,8.85,7006.21,6102.71,6046.66,5974.81,5544.54,18.59,18.73,15.08,13.34,10.20,1.14,1.02,1.08,1.18,1.51,15.48,18.83,14.97,14.62,0.27,1259346.25,1525260.125,1420181.5,981279.625,88.57,88.44,39.43,50.52
AIV UN Equity,3.400000095,Financial,#N/A N/A,,,,,#N/A N/A,,,,,1.88,0.40,0.01,0.90,0.04,#N/A N/A,,,,,4030.25,3997.45,4350.59,4562.90,4802.53,51.25,55.52,18.24,27.79,11.58,#N/A N/A,,,,,117.67,28.36,0.85,57.34,2.93,366674.69,440858.5625,421581.8125,313028.8125,51.09,51.70,35.52,39.06
PVH UN Equity,3.952380896,"Consumer, Cyclical",1344.70,1046.80,970.90,1029.40,1033.10,0.65,0.61,0.50,0.60,0.53,2.09,1.09,2.59,2.83,-0.93,11.92,9.16,8.69,10.52,3.97,2832.20,4923.80,4863.40,5047.80,4667.30,13.14,11.46,11.84,11.03,7.17,1.71,1.47,1.40,1.40,1.44,6.39,3.48,8.18,8.08,-2.59,595653.31,455598.8438,520924.625,413267.4063,92.82,105.64,39.71,47.46
VNO UN Equity,2.714285612,Financial,#N/A N/A,,,,,#N/A N/A,,,,,0.95,12.58,1.69,1.01,0.03,110.09,103.95,,,,9123.70,8010.62,7978.13,7904.86,8458.29,16.64,61.39,62.15,65.81,61.51,#N/A N/A,,,,,36.29,520.99,71.99,44.63,3.94,747221.25,636179.4375,703856.1875,518824.4063,63.64,66.87,33.60,38.12
WEC UN Equity,2.428571463,Utilities,-881.60,-1523.30,-1045.40,-1089.10,-1002.40,0.51,0.31,0.33,0.38,0.42,1.33,0.75,0.74,0.77,1.43,22.92,24.10,27.49,25.76,23.95,11907.80,12015.60,12319.50,12776.40,12760.40,11.09,11.08,11.05,11.40,11.48,0.69,0.55,0.63,0.66,0.65,17.68,14.84,14.59,12.54,21.47,555351.25,652223.625,574222.375,595968.1875,85.02,91.31,91.28,90.17
MGM UN Equity,3.476190567,"Consumer, Cyclical",-605.54,-746.51,-412.50,816.27,4971.68,0.65,0.62,0.54,0.92,2.46,0.05,0.08,-0.08,3.94,1.64,34.53,49.99,43.51,118.61,41.10,15307.27,15269.90,15531.93,15542.32,20228.22,3.88,2.91,0.22,28.78,37.76,0.78,0.73,0.87,1.26,2.89,0.99,1.35,-1.12,63.16,35.82,4251684.50,3770196,4115056.75,3700175.5,29.23,32.89,12.91,16.86
CMS UN Equity,3.799999952,Utilities,270.00,-132.00,140.00,-373.00,-123.00,0.73,0.56,0.61,0.48,0.68,0.75,0.33,0.73,0.59,0.86,25.05,28.06,28.98,25.26,22.64,12122.00,12450.00,13243.00,13293.00,14337.00,13.31,12.24,12.80,13.92,14.14,1.13,0.94,1.06,0.86,0.96,10.34,6.44,13.39,9.30,13.04,573628.75,718628.5625,586768.3125,693193.1875,58.72,62.59,58.85,60.30
EXC UW Equity,4.699999809,Utilities,247.00,-1279.00,-879.00,-2148.00,702.00,0.55,0.47,0.56,0.50,0.62,0.93,0.50,0.79,0.79,0.60,16.02,14.70,11.08,,,38756.00,38737.00,39310.00,39331.00,40025.00,7.57,7.33,7.34,9.33,8.18,1.02,0.90,0.93,0.85,1.06,9.57,6.29,8.65,9.27,6.65,2339726.25,2510524.75,2288401.75,2519152.5,#N/A N/A,45.64,36.32,37.48
FISV UW Equity,4.441176414,Technology,155.00,8155.00,1330.00,1319.00,814.00,0.71,4.59,0.22,0.23,0.29,0.58,0.57,0.34,0.36,0.58,33.28,33.80,30.82,39.17,36.15,6257.00,14157.00,23214.00,22642.00,21968.00,36.87,35.62,5.28,5.06,6.19,1.07,4.97,1.08,1.08,1.07,14.98,14.75,6.33,6.11,10.40,2048677.38,1883495.5,1887776.125,3520886.5,94.46,116.93,95.86,98.25
AKAM UW Equity,4.272727489,Technology,1248.71,1153.98,1651.39,1538.28,1384.34,2.63,2.40,3.20,2.79,2.68,0.66,0.70,0.85,0.74,0.76,29.15,29.33,31.65,28.50,29.59,1278.51,1288.41,2207.16,2671.44,2671.19,10.55,12.36,13.61,13.96,14.21,3.19,2.95,3.74,3.22,3.20,15.16,16.16,19.42,15.43,16.11,863454.88,791598.3125,854987.4375,1014975.813,81.70,87.55,97.79,113.12
AJG UN Equity,4.230769157,Financial,1031.60,614.90,417.70,196.50,689.40,0.82,0.73,0.70,0.68,0.76,1.81,0.59,0.68,0.51,1.83,21.96,24.39,24.74,26.05,21.09,4461.00,4643.40,4723.70,4863.40,5089.50,14.77,14.78,14.65,13.85,13.74,1.12,1.07,1.05,1.02,1.07,16.78,6.64,6.91,5.72,18.55,373369.34,387343.125,390916.5938,389314.4063,90.59,95.75,82.21,97.34
ETR UN Equity,4.368421078,Utilities,-1453.31,-1239.10,-1441.37,-2574.47,-2043.99,0.39,0.38,0.42,0.25,0.40,1.34,1.22,1.84,1.93,0.59,8.67,9.69,12.64,10.51,9.32,19551.45,19288.43,19677.30,20054.40,21400.36,11.45,10.79,8.57,13.02,11.52,0.70,0.73,0.72,0.54,0.66,9.91,9.02,11.76,15.82,5.08,410325.03,491784.25,417602.875,361223.5938,104.34,119.15,93.00,96.86
CLX UN Equity,3.125,"Consumer, Non-cyclical",132.00,-135.00,-192.00,-210.00,-44.00,0.61,0.52,0.48,0.47,0.68,1.46,1.91,1.61,1.48,1.92,26.22,24.15,24.07,24.10,25.40,2607.00,2683.00,3098.00,3152.00,3282.00,98.39,127.63,132.52,125.83,117.89,1.10,0.91,0.87,0.86,0.98,12.06,14.81,13.48,12.77,13.52,456518.06,539366.625,486115.25,387779,155.77,153.37,181.38,222.16
J UN Equity,4.875,Industrial,1658.27,1186.50,1038.06,1546.95,2541.97,0.58,0.70,0.60,0.70,1.13,0.41,3.83,1.06,1.93,-0.69,20.18,20.60,21.28,15.88,19.65,2841.56,1247.89,1401.15,2596.13,4047.47,5.15,11.11,14.65,16.68,15.08,1.52,1.36,1.34,1.55,1.97,1.84,16.55,4.19,7.65,-2.69,309899.56,321104.4688,275837.75,321892.5938,84.71,90.72,83.42,85.66
LNT UW Equity,4.272727489,Utilities,-772.50,-921.70,-969.10,-1178.60,-738.00,0.27,0.30,0.31,0.20,0.27,0.53,0.40,0.95,0.46,0.70,21.76,22.98,24.18,23.66,19.30,6151.40,6552.40,6558.50,6543.60,6461.60,11.58,11.28,11.13,11.38,11.82,0.51,0.53,0.53,0.43,0.55,12.94,12.29,23.09,12.95,18.85,710384.63,762881.25,679753.625,910252.8125,49.95,53.75,47.83,49.42
CHD UN Equity,3.333333254,"Consumer, Non-cyclical",-219.60,-258.80,-233.30,-135.90,59.80,0.43,0.41,0.44,0.47,0.79,0.71,0.56,0.64,0.59,0.94,30.44,30.44,30.34,28.25,24.50,2020.60,2384.50,2345.20,2223.50,2947.80,25.27,25.00,25.01,24.05,25.20,0.81,0.78,0.80,0.88,1.03,16.82,12.83,14.44,12.62,19.72,425157.16,544126.625,450293.125,511129.8125,74.33,70.54,68.86,78.29
TYL UN Equity,3.928571463,Technology,-1.11,-0.16,92.99,170.60,267.17,0.93,0.93,1.14,1.27,1.48,0.71,0.83,1.04,1.20,1.20,58.46,64.28,77.07,80.30,71.22,109.73,39.81,24.55,23.21,21.92,10.46,9.40,8.93,9.96,10.86,1.00,1.00,1.20,1.34,1.60,11.07,11.63,14.67,16.20,17.19,303314.72,143582.5,187849.4063,150943.7969,221.99,310.21,299.85,355.22
JKHY UW Equity,2.857142925,Technology,57.69,99.49,91.05,84.58,181.24,0.68,0.86,0.84,0.81,1.08,0.77,0.79,1.16,0.94,0.96,38.02,37.21,39.68,39.29,39.78,35.00,0.00,74.23,70.97,123.19,21.04,19.76,19.52,19.57,20.16,1.17,1.21,1.23,1.25,1.61,15.58,15.50,20.40,17.20,17.20,263303.69,264083.6875,254974.7188,317496.5938,137.15,146.73,167.34,184.51
GPN UN Equity,4.558823586,"Consumer, Non-cyclical",153.53,64.10,709.42,787.10,1033.39,0.37,0.32,0.70,0.72,0.86,0.71,0.77,0.54,0.34,0.48,45.09,50.63,48.62,54.48,42.65,6211.96,6147.20,10070.09,10075.04,10081.81,11.97,12.39,2.54,2.70,2.95,1.03,1.01,1.17,1.22,1.34,12.72,12.88,8.59,5.17,7.54,626763.19,570760.1875,536377.5,1694027.625,162.49,187.97,143.74,171.46
ESS UN Equity,3.521739244,Financial,#N/A N/A,,,,,#N/A N/A,,,,,1.81,1.40,1.51,1.95,4.77,59.35,57.41,61.74,47.87,35.60,5874.90,5979.20,6178.85,5934.53,6622.60,6.66,6.55,6.83,7.04,10.23,#N/A N/A,,,,,33.37,25.52,27.07,34.32,80.28,177227.09,190087.5469,164581.2969,185857.7969,301.10,300.00,212.61,237.05
CCL UN Equity,3.095238209,"Consumer, Cyclical",-7541.00,-7542.00,-6219.00,-7068.00,-7831.00,0.11,0.15,0.18,0.11,0.16,0.48,0.65,2.58,0.62,-1.14,12.02,11.07,9.75,11.56,5.10,11586.00,11174.00,10738.00,11502.00,14418.00,12.74,12.44,12.26,12.01,7.72,0.22,0.27,0.30,0.23,0.27,7.19,9.32,27.25,8.85,-16.31,7693844.50,7081347.5,9470581,4950500.5,46.91,48.38,10.21,15.88
UDR UN Equity,3.700000048,Financial,#N/A N/A,,,,,#N/A N/A,,,,,0.08,0.12,0.09,0.33,0.01,157.27,140.96,136.00,66.03,56.96,3678.05,3958.69,4196.17,4906.08,5082.97,4.95,5.59,5.76,5.87,5.12,#N/A N/A,,,,,9.05,12.66,9.21,32.14,1.62,735883.31,722832.5625,727168.3125,642622.1875,46.00,46.39,35.34,38.57
WELL UN Equity,3.631578922,Financial,#N/A N/A,,,,,#N/A N/A,,,,,0.72,0.34,1.46,0.55,0.76,63.98,67.28,69.05,55.87,34.05,13485.25,15619.83,14142.18,15388.77,14429.73,4.16,4.08,7.69,8.37,8.09,#N/A N/A,,,,,22.05,10.44,46.59,17.76,24.65,1126022.38,1041287.5,1029868,911614.1875,84.22,82.79,42.51,52.63
EXR UN Equity,3.133333445,Financial,#N/A N/A,,,,,#N/A N/A,,,,,0.74,0.82,0.84,0.87,0.84,33.11,33.91,36.84,32.69,28.83,5104.67,5269.01,5091.05,5321.27,5395.97,17.84,18.04,16.64,16.96,18.12,#N/A N/A,,,,,30.42,32.39,32.03,33.44,32.54,318493.13,327358.5313,299204.1875,337328.5938,108.50,106.45,99.88,97.25
SRE UN Equity,4.157894611,Utilities,-5350.00,-5394.00,-5832.00,-5811.00,-6753.00,0.19,0.18,0.16,0.20,0.32,1.60,1.29,2.93,1.57,2.60,23.82,27.75,31.74,33.15,19.87,24920.00,26249.00,26700.00,26313.00,28019.00,6.96,13.22,16.12,12.63,14.41,0.38,0.34,0.39,0.36,0.45,16.46,17.49,30.78,16.38,26.28,668444.50,582016.3125,556859.875,1031342,138.38,149.00,114.04,120.94
PSX UN Equity,4.809523582,Energy,3487.00,3124.00,3534.00,2749.00,1176.00,0.76,0.77,0.77,0.87,0.55,0.44,3.13,1.58,1.65,-5.66,8.32,8.50,9.96,13.33,7.10,12631.00,12723.00,13213.00,13024.00,12963.00,22.87,22.67,19.01,12.41,1.65,1.31,1.28,1.29,1.24,1.11,0.88,5.11,2.62,2.53,-11.96,1026418.75,1128889.125,1048738.125,952827.625,96.80,107.81,57.42,68.42
ORLY UW Equity,3.857142925,"Consumer, Cyclical",-676.69,-659.82,-856.37,-635.77,-423.13,0.07,0.07,0.06,0.06,0.11,4.09,4.56,5.14,4.29,4.00,23.46,22.01,22.96,24.50,16.90,5386.84,5719.49,5654.53,5861.89,6450.17,336.79,506.48,411.22,370.45,569.54,0.84,0.85,0.81,0.86,0.91,13.32,13.66,14.67,13.09,12.13,252769.14,332540.6875,267931.625,320020.1875,386.04,434.66,333.43,427.85
SYY UN Equity,3.727272749,"Consumer, Non-cyclical",1955.39,2038.32,2382.69,1729.64,3232.77,0.75,0.77,0.80,0.71,0.89,0.86,1.04,0.88,0.75,-0.01,19.70,19.94,21.90,22.99,13.52,8677.43,8163.34,9343.61,9552.14,11501.28,67.36,66.84,66.64,77.23,62.39,1.30,1.33,1.39,1.25,1.49,3.00,3.46,2.97,2.55,-0.02,1115691.63,1296662.625,1223027.5,1032539.375,71.75,84.24,45.01,54.06
KMB UN Equity,3.571428537,"Consumer, Non-cyclical",-1942.00,-1264.00,-1718.00,-1862.00,-837.00,0.40,0.45,0.40,0.39,0.54,1.32,1.41,1.95,1.60,1.93,18.77,20.00,22.20,21.05,18.24,8322.00,8419.00,8161.00,8151.00,8448.00,#N/A N/A,,,,,0.73,0.81,0.75,0.73,0.87,9.80,10.56,14.46,11.94,13.18,565909.81,641154.9375,554421,552214.625,137.06,136.09,133.15,143.20
COP UN Equity,4.730769157,Energy,6313.00,6804.00,9275.00,9870.00,7069.00,1.38,1.13,1.95,1.62,1.63,1.61,1.40,2.76,0.66,-1.60,14.37,13.52,14.29,18.03,10.05,15912.00,15967.00,15725.00,15827.00,14973.00,22.72,22.31,24.85,21.49,11.27,1.86,1.76,2.56,2.40,2.16,20.03,19.87,39.40,9.34,-28.24,1973530.75,2500306.5,2066011.125,1931817,59.90,66.48,32.80,41.78
MAA UN Equity,3.588235378,Financial,#N/A N/A,,,,,#N/A N/A,,,,,0.55,0.53,0.68,1.30,0.31,56.14,60.06,59.79,59.44,49.68,4581.66,4573.22,4509.07,4487.72,4516.51,3.79,3.86,4.31,5.76,5.83,#N/A N/A,,,,,15.87,15.20,18.92,35.89,8.77,258558.59,285558.3125,277087.4063,223791.7969,121.26,131.26,105.28,117.53
SO UN Equity,3.111111164,Utilities,-1210.00,-2647.00,-617.00,-2729.00,-123.00,0.46,0.40,0.57,0.40,0.50,2.01,0.86,1.26,0.42,0.82,18.04,19.34,20.17,20.82,17.27,45969.00,46158.00,47783.00,48686.00,49594.00,13.19,17.51,17.47,18.15,13.01,0.88,0.76,0.94,0.78,0.99,38.58,17.69,22.02,9.06,17.38,1552761.25,1697154.75,1472133.75,1498435.375,56.36,62.81,55.40,52.79
MCK UN Equity,4.222222328,"Consumer, Non-cyclical",839.00,476.00,208.00,-665.00,-402.00,0.47,0.56,0.55,0.52,0.49,-4.17,2.25,-3.99,1.04,5.89,10.11,11.20,11.57,11.21,10.56,7595.00,9870.00,10318.00,11995.00,9401.00,0.38,6.89,-8.02,-11.94,13.65,1.02,1.01,1.01,0.98,0.99,-1.52,0.76,-1.27,0.31,1.74,398004.59,803528.3125,436596.625,529383,140.03,138.16,135.20,152.73
AEP UN Equity,4.263157845,Utilities,-4075.80,-4295.80,-4444.80,-6221.30,-6362.70,0.30,0.28,0.29,0.23,0.31,1.16,0.93,1.49,0.31,1.00,20.10,21.20,21.51,23.64,20.90,27672.00,29041.90,29736.50,30532.50,33327.40,10.82,10.38,10.97,9.92,9.45,0.49,0.49,0.48,0.40,0.45,14.12,12.91,17.00,4.25,13.21,706899.38,925854.875,738122.5625,809388.625,89.84,93.67,78.59,82.52
AAP UN Equity,3.909090996,"Consumer, Cyclical",1482.96,1590.07,1362.74,1217.84,,0.23,0.28,0.24,0.19,,1.99,1.74,1.76,1.39,,24.92,21.40,22.56,20.07,11.70,3250.71,3228.38,3188.36,3242.46,,12.11,11.91,12.49,13.72,,1.35,1.36,1.31,1.27,1.36,4.83,5.35,5.35,4.54,,219582.70,256204.0938,222889.375,207627.5938,160.62,156.80,95.81,141.84
MRO UN Equity,3.137931108,Energy,918.00,217.00,141.00,390.00,467.00,1.13,0.85,0.97,1.13,1.05,0.21,0.20,0.21,-0.03,-0.06,21.81,16.52,14.98,18.34,12.15,5755.00,5757.00,5734.00,5709.00,5671.00,7.54,8.08,7.32,3.95,2.15,1.49,1.09,1.06,1.22,1.32,14.09,11.55,13.15,-1.61,-4.46,7661966.00,7129505.5,8130158.5,5377914,13.76,13.96,3.62,6.12
DLR UN Equity,3.869565248,Financial,#N/A N/A,,,,,#N/A N/A,,,,,0.46,0.15,0.24,1.51,0.91,112.36,112.31,119.46,107.39,205.54,11005.13,11556.83,11623.42,10815.99,13682.62,2.95,2.61,2.48,5.85,5.08,#N/A N/A,,,,,14.34,7.51,8.25,42.70,27.21,852548.50,885483.9375,735847.125,1015405,121.04,118.86,139.50,148.59
DXC UN Equity,3.857142925,Technology,-387.00,-1148.00,-484.00,-601.00,1092.00,0.57,0.76,0.83,0.82,0.73,1.02,0.61,-8.19,0.32,-13.79,9.05,7.90,4.72,7.68,3.41,7412.00,11119.00,10797.00,10491.00,11493.00,10.10,10.37,-12.17,-16.19,-66.34,0.96,0.88,0.95,0.93,1.14,5.19,3.33,-43.68,1.63,-72.59,1654438.63,1387449.625,1345414.75,1094051.625,56.46,35.33,13.52,16.15
PPL UN Equity,3.571428537,Utilities,-1632.00,-1832.00,-1306.00,-2133.00,-2366.00,0.45,0.39,0.45,0.41,0.41,0.65,0.61,0.66,0.49,0.72,13.49,13.01,13.09,14.65,10.20,22829.00,22819.00,23039.00,23148.00,23536.00,15.76,15.21,15.17,14.17,14.43,0.60,0.55,0.66,0.56,0.56,22.41,24.46,24.57,18.63,26.97,1817519.50,1782952.625,1617756.125,1905593.625,31.01,35.42,23.92,26.18
ED UN Equity,2.529411793,Utilities,-2567.00,-2262.00,-2638.00,-2015.00,-1285.00,0.36,0.44,0.32,0.49,0.53,1.31,0.46,1.42,0.89,1.13,19.68,20.50,22.20,20.83,18.06,21274.00,21507.00,21631.00,22540.00,23601.00,8.35,8.05,8.15,7.74,7.27,0.60,0.62,0.58,0.68,0.80,12.07,5.54,14.06,10.00,11.60,625173.94,719571.125,609237.5625,722595,88.81,88.34,81.05,73.81
COO UN Equity,4.142857075,"Consumer, Non-cyclical",254.40,195.70,261.40,52.80,81.40,0.57,0.53,0.58,0.47,0.45,2.09,2.48,2.43,2.44,1.84,31.74,35.90,31.12,31.33,28.26,2132.40,1926.90,1812.60,1826.30,2049.40,11.11,12.69,13.05,13.46,12.69,1.27,1.21,1.29,1.05,1.08,16.43,18.71,17.68,17.50,14.01,112119.93,101857.4141,96877.17188,137369.7969,332.73,323.17,296.68,290.07
AZO UN Equity,4.090909004,"Consumer, Cyclical",-337.23,-345.55,-483.46,-711.26,-479.01,0.09,0.09,0.10,0.08,0.09,11.71,16.35,23.15,14.67,12.70,17.99,18.48,17.52,18.99,13.30,5111.20,5151.92,5262.59,8222.37,8376.86,#N/A N/A,,,,,0.94,0.94,0.91,0.88,0.92,12.02,14.59,14.17,12.54,11.91,59914.57,72996.34375,59585.59375,59471.60156,1130.31,1165.71,875.10,1148.97
ES UN Equity,3.5,Utilities,-2258.50,-1380.42,-1528.01,-1191.02,-832.96,0.29,0.32,0.31,0.33,0.36,0.97,0.10,0.98,0.77,1.01,20.90,22.46,25.01,24.67,22.36,14587.88,14613.67,15069.03,15047.72,15092.44,9.40,7.41,7.57,7.54,7.53,0.50,0.61,0.59,0.67,0.75,12.78,1.67,14.66,12.19,14.10,611567.56,716960.5,608261.25,534330,76.99,83.31,82.09,84.67
XEL UW Equity,3.133333445,Utilities,-1515.00,-2121.00,-1421.00,-1455.00,-2856.00,0.39,0.34,0.46,0.39,0.28,0.61,0.46,1.02,0.56,0.56,22.39,24.28,25.96,24.05,23.28,19149.00,20065.00,20477.00,20528.00,21183.00,10.77,10.48,10.23,10.78,10.55,0.66,0.58,0.72,0.68,0.51,10.03,9.24,17.49,10.44,10.49,1342351.00,1625509.375,1402252,1691224,60.69,62.59,61.15,64.10
O UN Equity,4.090909004,Financial,#N/A N/A,,,,,#N/A N/A,,,,,0.37,0.31,0.32,0.39,0.44,57.08,53.47,58.71,52.23,35.18,7133.23,7193.49,7157.89,8008.75,7663.43,5.13,4.78,4.62,4.89,5.14,#N/A N/A,,,,,31.31,26.05,27.00,32.53,35.44,1201959.50,959546.125,971714.75,737644.625,69.99,74.16,46.81,61.10
DTE UN Equity,4.176470757,Utilities,-807.00,-928.00,-880.00,-911.00,-446.00,0.48,0.41,0.40,0.43,0.54,2.20,0.99,1.74,1.40,1.77,19.03,20.49,22.17,20.64,16.19,14562.00,15206.00,15927.00,17610.00,18700.00,11.35,10.95,10.44,10.67,9.91,0.78,0.75,0.77,0.77,0.89,11.41,6.30,10.23,8.48,11.25,411130.66,496438.3438,415992.3125,459892.5938,130.87,128.98,96.04,109.97
TDG UN Equity,3.823529482,Industrial,3869.34,4030.56,3326.49,3302.00,3544.00,2.08,2.81,1.65,1.56,2.21,3.60,2.57,4.63,2.07,5.56,31.83,32.46,35.79,44.59,23.53,17257.15,16876.70,16898.95,18542.00,18727.00,#N/A N/A,,,,,3.24,3.92,3.16,1.99,3.14,17.29,8.71,22.50,20.75,22.11,164012.03,173791.5781,167448.1875,161782.5938,443.90,584.80,288.93,442.33
EQR UN Equity,2.909090996,Financial,#N/A N/A,,,,,#N/A N/A,,,,,0.28,0.83,0.72,0.78,0.83,64.57,57.55,61.27,57.95,44.55,9234.91,9130.42,9325.25,9368.29,8963.42,5.40,7.32,7.81,9.48,11.43,#N/A N/A,,,,,15.78,46.15,38.99,42.37,45.23,954209.25,790899.625,831550.0625,785978.625,77.92,81.03,60.11,60.59
